"income","current.single","trump.single","current.married","trump.married","diff.single","diff.married","pctincome.single","pctincome.married"
6220000,2414838.064,2034564.81,2400151.414,2014947.81,-380273.254,-385203.604,0.0999361552532886,0.100842636907598
6230000,2418798.064,2037864.81,2404111.414,2018247.81,-380933.254,-385863.604,0.099950949961944,0.100855943743888
6240000,2422758.064,2041164.81,2408071.414,2021547.81,-381593.254,-386523.604,0.0999656978514343,0.100869208630915
6250000,2426718.064,2044464.81,2412031.414,2024847.81,-382253.254,-387183.604,0.0999803991436535,0.10088243176673
6260000,2430678.064,2047764.81,2415991.414,2028147.81,-382913.254,-387843.604,0.0999950540590955,0.100895613348143
6270000,2434638.064,2051064.81,2419951.414,2031447.81,-383573.254,-388503.604,0.100009662816865,0.100908753570727
6280000,2438598.064,2054364.81,2423911.414,2034747.81,-384233.254,-389163.604,0.10002422563469,0.100921852628829
6290000,2442558.064,2057664.81,2427871.414,2038047.81,-384893.254,-389823.604,0.10003874272893,0.10093491071558
6300000,2446518.064,2060964.81,2431831.414,2041347.81,-385553.254,-390483.604,0.100053214314588,0.100947928022907
6310000,2450478.064,2064264.81,2435791.414,2044647.81,-386213.254,-391143.604,0.100067640605321,0.100960904741539
6320000,2454438.064,2067564.81,2439751.414,2047947.81,-386873.254,-391803.604,0.100082021813452,0.100973841061017
6330000,2458398.064,2070864.81,2443711.414,2051247.81,-387533.254,-392463.604,0.100096358149977,0.100986737169703
6340000,2462358.064,2074164.81,2447671.414,2054547.81,-388193.254,-393123.604,0.100110649824579,0.100999593254792
6350000,2466318.064,2077464.81,2451631.414,2057847.81,-388853.254,-393783.604,0.100124897045637,0.101012409502317
6360000,2470278.064,2080764.81,2455591.414,2061147.81,-389513.254,-394443.604,0.100139100020233,0.10102518609716
6370000,2474238.064,2084064.81,2459551.414,2064447.81,-390173.254,-395103.604,0.100153258954168,0.101037923223062
6380000,2478198.064,2087364.81,2463511.414,2067747.81,-390833.254,-395763.604,0.100167374051967,0.10105062106263
6390000,2482158.064,2090664.81,2467471.414,2071047.81,-391493.254,-396423.604,0.10018144551689,0.101063279797344
6400000,2486118.064,2093964.81,2471431.414,2074347.81,-392153.254,-397083.604,0.100195473550943,0.101075899607573
6410000,2490078.064,2097264.81,2475391.414,2077647.81,-392813.254,-397743.604,0.100209458354887,0.101088480672573
6420000,2494038.064,2100564.81,2479351.414,2080947.81,-393473.254,-398403.604,0.100223400128248,0.101101023170504
6430000,2497998.064,2103864.81,2483311.414,2084247.81,-394133.254,-399063.604,0.100237299069326,0.101113527278435
6440000,2501958.064,2107164.81,2487271.414,2087547.81,-394793.254,-399723.604,0.100251155375203,0.101125993172353
6450000,2505918.064,2110464.81,2491231.414,2090847.81,-395453.254,-400383.604,0.100264969241755,0.101138421027169
